club,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
FC Dallas,34,17,8,9,50,40,10,60
Colorado Rapids,34,15,6,13,39,32,7,58
New York Red Bulls,34,16,9,9,61,44,17,57
New York City Football Club,34,15,10,9,62,57,5,54
Toronto FC,34,14,9,11,51,39,12,53
LA Galaxy,34,12,6,16,54,39,15,52
Seattle Sounders FC,34,14,14,6,44,43,1,48
Sporting Kansas City,34,13,13,8,42,41,1,47
Real Salt Lake,34,12,12,10,44,46,-2,46
D.C. United,34,11,10,13,53,47,6,46
Montreal Impact,34,11,11,12,49,53,-4,45
Portland Timbers,34,12,14,8,48,53,-5,44
Philadelphia Union,34,11,14,9,52,55,-3,42
New England Revolution,34,11,14,9,44,54,-10,42
Orlando City Soccer Club,34,9,11,14,55,60,-5,41
Vancouver Whitecaps FC,34,10,15,9,45,52,-7,39
San Jose Earthquakes,34,8,12,14,32,40,-8,38
Columbus Crew SC,34,8,14,12,50,58,-8,36
Houston Dynamo,34,7,14,13,39,45,-6,34
Chicago Fire Soccer Club,34,7,17,10,42,58,-16,31
